n_list,time
2,4.00003045797348e-06
5,7.100054062902927e-06
7,8.999952115118504e-06
10,8.899951353669167e-06
25,2.519995905458927e-05
50,4.950002767145634e-05
75,7.969990838319063e-05
100,0.00010379997547715902
250,0.00029710005037486553
500,0.0006419999990612268
750,0.0010095000034198165
1000,0.001422800007276237
2500,0.004150800057686865
5000,0.008541499963030219
7500,0.013665499980561435
10000,0.018722599954344332
25000,0.05112419999204576
50000,0.11516709998250008
75000,0.17450940003618598
100000,0.24295709992293268
