n_list,k_list,time
100,7,0.000464299984741956
300,11,0.0021006999886594713
500,3,0.0011487000156193972
700,14,0.006186500017065555
900,22,0.012366099981591105
1100,8,0.00581679999595508
1300,3,0.0029448000132106245
1500,32,0.02968229999532923
1700,11,0.012027500022668391
1900,26,0.030713199987076223
2100,34,0.044647199974860996
2300,24,0.0347358999424614
2500,5,0.008703500032424927
2700,38,0.06372019997797906
2900,31,0.056441200023982674
3100,28,0.05409639998106286
3300,9,0.019584299996495247
3500,3,0.007954399974551052
3700,23,0.053800900001078844
3900,40,0.09820999996736646
4100,15,0.039479699975345284
4300,58,0.15460130001883954
4500,58,0.16368050000164658
4700,46,0.13327819999540225
4900,47,0.1433042999706231
